Organisation Code,Organisation Name,All Procedures - Total HES Procedures,All Procedures - Total Pre-Op Qs,All Procedures - Participation Rate,All Procedures - Total Linked,All Procedures - Linkage rate,All Procedures - Total Q2s sent to date,All Procedures - Issue rate,All Procedures - Total Q2s returned to date,All Procedures - Response rate,Hip Replacement - Total HES Procedures,Hip Replacement - Total Pre-Op Qs,Hip Replacement - Participation Rate,Hip Replacement - Total Linked,Hip Replacement - Linkage rate,Hip Replacement - Total Q2s sent to date,Hip Replacement - Issue rate,Hip Replacement - Total Q2s returned to date,Hip Replacement - Response rate,Primary Hip Replacement - Total HES Procedures,Primary Hip Replacement - Total Pre-Op Qs,Primary Hip Replacement - Participation Rate,Primary Hip Replacement - Total Linked,Primary Hip Replacement - Linkage rate,Primary Hip Replacement - Total Q2s sent to date,Primary Hip Replacement - Issue rate,Primary Hip Replacement - Total Q2s returned to date,Primary Hip Replacement - Response rate,Revision Hip Replacement - Total HES Procedures,Revision Hip Replacement - Total Pre-Op Qs,Revision Hip Replacement - Participation Rate,Revision Hip Replacement - Total Linked,Revision Hip Replacement - Linkage rate,Revision Hip Replacement - Total Q2s sent to date,Revision Hip Replacement - Issue rate,Revision Hip Replacement - Total Q2s returned to date,Revision Hip Replacement - Response rate,Knee Replacement - Total HES Procedures,Knee Replacement - Total Pre-Op Qs,Knee Replacement - Participation Rate,Knee Replacement - Total Linked,Knee Replacement - Linkage rate,Knee Replacement - Total Q2s sent to date,Knee Replacement - Issue rate,Knee Replacement - Total Q2s returned to date,Knee Replacement - Response rate,Primary Knee Replacement - Total HES Procedures,Primary Knee Replacement - Total Pre-Op Qs,Primary Knee Replacement - Participation Rate,Primary Knee Replacement - Total Linked,Primary Knee Replacement - Linkage rate,Primary Knee Replacement - Total Q2s sent to date,Primary Knee Replacement - Issue rate,Primary Knee Replacement - Total Q2s returned to date,Primary Knee Replacement - Response rate,Revision Knee Replacement - Total HES Procedures,Revision Knee Replacement - Total Pre-Op Qs,Revision Knee Replacement - Participation Rate,Revision Knee Replacement - Total Linked,Revision Knee Replacement - Linkage rate,Revision Knee Replacement - Total Q2s sent to date,Revision Knee Replacement - Issue rate,Revision Knee Replacement - Total Q2s returned to date,Revision Knee Replacement - Response rate
England,ENGLAND,166579,144114,0.8651391,104535,0.7253633,74981,0.5202895,44722,0.5964444,76337,66132,0.8663165,48695,0.7363304,34472,0.5212605,20860,0.6051288,71618,46409,0.6480075,46409,1,26431,0.5695232,17535,0.6634255,4719,2286,0.4844247,2286,1,1367,0.5979878,786,0.5749817,90242,77982,0.8641431,55840,0.7160627,40509,0.519466,23862,0.5890543,85580,53687,0.6273312,53687,1,30238,0.5632276,19872,0.6571863,4662,2153,0.461819,2153,1,1259,0.5847654,727,0.5774424
RCF,AIREDALE NHS FOUNDATION TRUST,334,285,0.8532934,215,0.754386,166,0.5824561,94,0.5662651,183,159,0.8688525,121,0.7610063,100,0.6289308,59,0.59,169,115,0.6804734,115,1,79,0.6869565,50,0.6329114,14,6,0.4285714,6,1,2,0.3333333,0,0,151,126,0.8344371,94,0.7460317,66,0.5238095,35,0.530303,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,803,656,0.8169365,470,0.7164634,163,0.2484756,87,0.5337423,397,348,0.8765743,257,0.7385057,85,0.2442529,47,0.5529412,367,242,0.6594005,242,1,82,0.338843,46,0.5609756,30,15,0.5,15,1,3,0.2,1,0.3333333,406,308,0.7586207,213,0.6915584,78,0.2532468,40,0.5128205,372,203,0.5456989,203,1,73,0.3596059,37,0.5068493,34,10,0.2941176,10,1,5,0.5,3,0.6
NVC01,ASHTEAD HOSPITAL,65,68,1.0461538,61,0.8970588,32,0.4705882,27,0.84375,31,28,0.9032258,28,1,17,0.6071429,15,0.8823529,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,34,40,1.1764706,33,0.825,15,0.375,12,0.8,*,*,*,*,*,*,0.375,*,0.9166667,*,*,*,*,*,0,*,0,*
NYW04,ASPEN - CLAREMONT HOSPITAL,257,88,0.3424125,73,0.8295455,17,0.1931818,17,1,118,43,0.3644068,34,0.7906977,9,0.2093023,9,1,118,34,0.2881356,34,1,6,0.1764706,6,1,0,0,0,0,0,0,0,0,0,139,45,0.323741,39,0.8666667,8,0.1777778,8,1,*,39,0.2910448,*,1,8,0.2051282,8,1,*,0,*,0,0,0,0,0,0
NYW03,ASPEN - HIGHGATE HOSPITAL,24,16,0.6666667,12,0.75,1,0.0625,1,1,12,6,0.5,4,0.6666667,0,0,0,0,12,*,*,*,*,0,*,0,*,0,0,0,0,0,0,0,0,0,12,10,0.8333333,8,0.8,1,0.1,1,1,12,8,0.6666667,8,1,1,0.125,1,1,0,0,0,0,0,0,0,0,0
NYW02,ASPEN - PARKSIDE HOSPITAL,20,0,0,0,0,0,0,0,0,12,*,*,0,*,*,*,*,*,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,*,*,*,*,0,*,0,*,8,*,*,*,*,0,*,0,*,0,0,0,0,0,0,0,0,0
NYW01,ASPEN - THE HOLLY,68,50,0.7352941,12,0.24,10,0.2,10,1,27,20,0.7407407,4,0.2,4,0.2,4,1,27,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,41,30,0.7317073,8,0.2666667,6,0.2,6,1,41,8,0.195122,8,1,2,0.25,2,1,0,0,0,0,0,0,0,0,0
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",558,746,1.3369176,445,0.5965147,307,0.4115282,38,0.1237785,201,251,1.2487562,172,0.685259,94,0.374502,7,0.0744681,190,160,0.8421053,160,1,63,0.39375,7,0.1111111,11,12,1.0909091,12,1,5,0.4166667,0,0,357,495,1.3865546,273,0.5515152,213,0.430303,31,0.1455399,336,265,0.7886905,265,1,132,0.4981132,28,0.2121212,21,8,0.3809524,8,1,3,0.375,0,0
