OrgCode,OrgName,Procedure,Measure,Modelled_Records_2011,Modelled_Records_2012,Modelled_Records_2013,Modelled_Records_2014,Modelled_Records_2015,Modelled_Records_2016,Modelled_Records_2017,Modelled_Records_2018,Modelled_Records_2019,Adjusted_Health_Gain_2011,Adjusted_Health_Gain_2012,Adjusted_Health_Gain_2013,Adjusted_Health_Gain_2014,Adjusted_Health_Gain_2015,Adjusted_Health_Gain_2016,Adjusted_Health_Gain_2017,Adjusted_Health_Gain_2018,Adjusted_Health_Gain_2019,Outlier_2011,Outlier_2012,Outlier_2013,Outlier_2014,Outlier_2015,Outlier_2016,Outlier_2017,Outlier_2018,Outlier_2019
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Hip Replacement Primary,EQ VAS,0,0,0,0,16,82,145,216,119,-,-,-,-,-,14.526,17.283,15.895,16.537,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Positive outlier (95%),Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Knee Replacement Primary,EQ VAS,0,0,0,0,21,126,200,279,151,-,-,-,-,-,7.549,10.606,9.077,6.958,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Positive outlier (95%),Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Total Hip Replacement,EQ VAS,0,0,0,0,16,86,147,217,119,-,-,-,-,-,13.52,16.307,14.627,15.726,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier,Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Total Knee Replacement,EQ VAS,0,0,0,0,22,129,205,281,151,-,-,-,-,-,7.651,9.973,8.593,6.498,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier,Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Hip Replacement Primary,EQ-5D Index,0,0,0,0,16,86,157,230,118,-,-,-,-,-,0.48,0.508,0.501,0.484,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Positive outlier (95%),Positive outlier (95%),Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Knee Replacement Primary,EQ-5D Index,0,0,0,0,19,149,213,284,147,-,-,-,-,-,0.335,0.347,0.327,0.347,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier,Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Total Hip Replacement,EQ-5D Index,0,0,0,0,16,90,159,231,118,-,-,-,-,-,0.464,0.487,0.478,0.466,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier,Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Total Knee Replacement,EQ-5D Index,0,0,0,0,20,153,218,285,147,-,-,-,-,-,0.334,0.346,0.325,0.341,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier,Not an outlier,Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Hip Replacement Primary,Oxford Hip Score,0,0,0,0,17,97,174,245,126,-,-,-,-,-,22.435,24.433,23.876,23.379,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Positive outlier (95%),Positive outlier (95%),Not an outlier
ADP02,KIMS HOSPITAL (NEWNHAM COURT),Total Hip Replacement,Oxford Hip Score,0,0,0,0,17,101,176,247,126,-,-,-,-,-,20.511,22.722,22.208,21.868,No procedures,No procedures,No procedures,No procedures,Insufficient records,Not an outlier,Not an outlier,Not an outlier,Not an outlier
